OBJECTID,TREE_ID,Old_PLANTED_DATE_TI,New_PLANTED_DATE_TI,Planting_Record_Count,Action
2135,2135,,6/14/2024 22:12,1,UPDATED
3559,3560,,6/14/2024 23:12,1,UPDATED
24548,77158,,6/27/2025 22:11,1,UPDATED
100588,153225,,5/18/2023 12:34,1,UPDATED
108591,161232,,7/11/2025 14:30,1,UPDATED
115024,167665,,9/13/2023 8:00,1,UPDATED
129018,181672,,6/24/2025 22:03,1,UPDATED
145110,197770,,6/16/2025 15:56,1,UPDATED
187165,239858,,7/3/2025 21:17,1,UPDATED
229233,281931,,6/27/2025 21:59,1,UPDATED
233319,286019,,6/30/2025 22:11,1,UPDATED
239473,292174,,6/16/2025 16:21,1,UPDATED
240124,292825,,6/30/2025 21:37,1,UPDATED
240736,293437,,10/1/2023 8:00,1,UPDATED
254848,307554,,9/18/2024 20:09,1,UPDATED
260018,312732,,9/8/2025 16:30,1,UPDATED
281978,334769,,6/16/2025 18:21,1,UPDATED
285307,338128,,7/11/2025 14:30,1,UPDATED
290994,343826,,10/3/2024 0:33,1,UPDATED
291011,343843,,10/2/2024 17:43,1,UPDATED
308063,361095,,9/11/2023 8:00,1,UPDATED
308101,361133,,6/5/2023 8:00,1,UPDATED
308849,361886,,10/22/2025 13:03,1,UPDATED
310473,363518,,10/29/2025 12:24,1,UPDATED
324718,377825,,11/11/2025 15:29,1,UPDATED
324719,377826,,11/11/2025 15:30,1,UPDATED
